NAME,COLORWAY,ONEY_SALE,RETAIL_PRICE,RESELL_PRICE,RELEASE_DATE,RESELL_DATE,SIZE
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$781,06/21/2019,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$656,06/21/2019,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$781,06/21/2019,"Sunday, October 13, 2019",9.5
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$735,06/21/2019,"Sunday, October 13, 2019",9.5
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$741,06/21/2019,"Saturday, October 12, 2019",8.5
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$671,06/21/2019,"Saturday, October 12, 2019",8
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$710,06/21/2019,"Thursday, October 10, 2019",4.5
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$678,06/21/2019,"Thursday, October 10, 2019",10
adidas Yeezy Boost 350 V2 Antlia (Reflective),ANTLIA/ANTLIA/ANTLIA,1032,$220,$610,06/21/2019,"Wednesday, October 9, 2019",11
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,"$1,054",06/21/2019,"Saturday, October 12, 2019",6.5
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,$820,06/21/2019,"Thursday, October 10, 2019",8.5
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,"$1,274",06/21/2019,"Wednesday, October 9, 2019",10
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,$770,06/21/2019,"Monday, October 7, 2019",10.5
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,"$1,351",06/21/2019,"Monday, October 7, 2019",5
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,$980,06/21/2019,"Saturday, October 5, 2019",10.5
